Card,Set ID,Set Name,Quantity,Foil
"Blood Beckoning",ZNR,"",3,""
"Blood Price",ZNR,"",4,""
"Bloodchief's Thirst",ZNR,"",2,""
"Coveted Prize",ZNR,"",2,""
"Deadly Alliance",ZNR,"",1,""
"Demon's Disciple",ZNR,"",1,""
"Drana, the Last Bloodchief",ZNR,"",1,""
"Drana's Silencer",ZNR,"",3,""
"Dreadwurm",ZNR,"",1,""
"Expedition Skulker",ZNR,"",1,""
"Feed the Swarm",ZNR,"",1,""
"Guul Draz Mucklord",ZNR,"",4,""
"Hagra Constrictor",ZNR,"",3,""
"Inscription of Ruin",ZNR,"",3,""
"Lithoform Blight",ZNR,"",2,""
"Malakir Blood-Priest",ZNR,"",3,""
"Marauding Blight-Priest",ZNR,"",3,""
"Mind Carver",ZNR,"",2,""
"Mind Drain",ZNR,"",1,""
"Nimana Skydancer",ZNR,"",3,""
"Nullpriest of Oblivion",ZNR,"",1,""
"Oblivion's Hunger",ZNR,"",1,""
"Scion of the Swarm",ZNR,"",3,""
"Shadow Stinger",ZNR,"",1,""
"Shadows' Verdict",ZNR,"",2,""
"Skyclave Shadowcat",ZNR,"",3,""
"Soul Shatter",ZNR,"",1,""
"Subtle Strike",ZNR,"",3,""
"Thwart the Grave",ZNR,"",3,""
"Vanquish the Weak",ZNR,"",3,""
"Akoum Hellhound",ZNR,"",4,""
"Ardent Electromancer",ZNR,"",3,""
"Cinderclasm",ZNR,"",2,""
"Cleansing Wildfire",ZNR,"",4,""
"Expedition Champion",ZNR,"",3,""
"Fireblade Charger",ZNR,"",3,""
"Fissure Wizard",ZNR,"",4,""
"Goma Fada Vanguard",ZNR,"",1,""
"Grotag Night-Runner",ZNR,"",2,""
"Inordinate Rage",ZNR,"",4,""
"Kargan Intimidator",ZNR,"",1,""
"Molten Blast",ZNR,"",1,""
"Pyroclastic Hellion",ZNR,"",3,""
"Relic Robber",ZNR,"",2,""
"Rockslide Sorcerer",ZNR,"",1,""
"Roil Eruption",ZNR,"",4,""
"Roiling Vortex",ZNR,"",1,""
"Scavenged Blade",ZNR,"",4,""
"Scorch Rider",ZNR,"",4,""
"Shatterskull Charger",ZNR,"",1,""
"Shatterskull Minotaur",ZNR,"",3,""
"Sizzling Barrage",ZNR,"",3,""
"Skyclave Geopede",ZNR,"",2,""
"Sneaking Guide",ZNR,"",4,""
"Spitfire Lagac",ZNR,"",4,""
"Synchronized Spellcraft",ZNR,"",2,""
"Teeterpeak Ambusher",ZNR,"",4,""
"Thundering Rebuke",ZNR,"",3,""
"Thundering Sparkmage",ZNR,"",2,""
"Tormenting Voice",ZNR,"",3,""
"Tuktuk Rubblefort",ZNR,"",2,""
"Valakut Exploration",ZNR,"",1,""
"Adventure Awaits",ZNR,"",1,""
"Ancient Greenwarden",ZNR,"",1,""
"Ashaya, Soul of the Wild",ZNR,"",2,""
"Broken Wings",ZNR,"",1,""
"Canopy Baloth",ZNR,"",3,""
"Cragplate Baloth",ZNR,"",1,""
"Dauntless Survivor",ZNR,"",1,""
"Inscription of Abundance",ZNR,"",1,""
"Iridescent Hornbeetle",ZNR,"",2,""
"Joraga Visionary",ZNR,"",3,""
"Kazandu Nectarpot",ZNR,"",3,""
"Kazandu Stomper",ZNR,"",1,""
"Lotus Cobra",ZNR,"",1,""
"Might of Murasa",ZNR,"",3,""
"Murasa Sproutling",ZNR,"",2,""
"Oran-Rief Ooze",ZNR,"",1,""
"Rabid Bite",ZNR,"",1,""
"Reclaim the Wastes",ZNR,"",1,""
"Roiling Regrowth",ZNR,"",1,""
"Scale the Heights",ZNR,"",4,""
"Skyclave Pick-Axe",ZNR,"",1,""
"Strength of Solidarity",ZNR,"",4,""
"Swarm Shambler",ZNR,"",1,""
"Tajuru Blightblade",ZNR,"",1,""
"Tajuru Snarecaster",ZNR,"",2,""
"Taunting Arbormage",ZNR,"",3,""
"Territorial Scythecat",ZNR,"",2,""
"Vastwood Surge",ZNR,"",2,""
"Veteran Adventurer",ZNR,"",3,""
"Akiri, Fearless Voyager",ZNR,"",2,""
"Brushfire Elemental",ZNR,"",3,""
"Grakmaw, Skyclave Ravager",ZNR,"",1,""
"Kargan Warleader",ZNR,"",2,""
"Kaza, Roil Chaser",ZNR,"",1,""
"Moss-Pit Skeleton",ZNR,"",3,""
"Murasa Rootgrazer",ZNR,"",2,""
"Nissa of Shadowed Boughs",ZNR,"",1,""
"Omnath, Locus of Creation",ZNR,"",1,""
"Orah, Skyclave Hierophant",ZNR,"",1,""
"Phylath, World Sculptor",ZNR,"",1,""
"Ravager's Mace",ZNR,"",3,""
"Spoils of Adventure",ZNR,"",2,""
"Umara Mystic",ZNR,"",3,""
"Yasharn, Implacable Earth",ZNR,"",2,""
"Zareth San, the Trickster",ZNR,"",1,""
"Cliffhaven Kitesail",ZNR,"",2,""
"Forsaken Monument",ZNR,"",1,""
"Relic Amulet",ZNR,"",1,""
"Relic Axe",ZNR,"",2,""
"Relic Golem",ZNR,"",1,""
"Sea Gate Colossus",ZNR,"",1,""
"Skyclave Sentinel",ZNR,"",4,""
"Stonework Packbeast",ZNR,"",1,""
"Utility Knife",ZNR,"",2,""
"Base Camp",ZNR,"",2,""
"Plains",ZNR,"",1,""
"Island",ZNR,"",1,""
"Swamp",ZNR,"",1,""
"Mountain",ZNR,"",1,""
"Forest",ZNR,"",1,""
"Emeria's Call",ZNR,"",1,""
"Kabira Takedown",ZNR,"",2,""
"Makindi Stampede",ZNR,"",4,""
"Sejiri Shelter",ZNR,"",4,""
"Skyclave Cleric",ZNR,"",1,""
"Glasspool Mimic",ZNR,"",1,""
"Jwari Disruption",ZNR,"",4,""
"Silundi Vision",ZNR,"",1,""
"Umara Wizard",ZNR,"",1,""
"Agadeem's Awakening",ZNR,"",1,""
"Blackbloom Rogue",ZNR,"",1,""
"Pelakka Predation",ZNR,"",1,""
"Zof Consumption",ZNR,"",2,""
"Akoum Warrior",ZNR,"",3,""
"Kazuul's Fury",ZNR,"",3,""
"Shatterskull Smashing",ZNR,"",1,""
"Song-Mad Treachery",ZNR,"",2,""
"Spikefield Hazard",ZNR,"",3,""
"Bala Ged Recovery",ZNR,"",1,""
"Kazandu Mammoth",ZNR,"",1,""
"Khalni Ambush",ZNR,"",1,""
"Tangled Florahedron",ZNR,"",2,""
"Turntimber Symbiosis",ZNR,"",1,""
"Vastwood Fortification",ZNR,"",3,""
"Branchloft Pathway",ZNR,"",1,""
"Brightclimb Pathway",ZNR,"",1,""
"Clearwater Pathway",ZNR,"",2,""
"Cragcrown Pathway",ZNR,"",1,""
"Needleverge Pathway",ZNR,"",4,""
"Riverglide Pathway",ZNR,"",4,""
"Battershield Warrior",KHM,"",1,""
"Battlefield Raptor",KHM,"",2,""
"Beskir Shieldmate",KHM,"",4,""
"Clarion Spirit",KHM,"",4,""
"Codespell Cleric",KHM,"",4,""
"Divine Gambit",KHM,"",1,""
"Doomskar Oracle",KHM,"",1,""
"Giant Ox",KHM,"",2,""
"Glorious Protector",KHM,"",1,""
"Gods' Hall Guardian",KHM,"",2,""
"Goldmaw Champion",KHM,"",4,""
"Halvar, God of Battle",KHM,"",1,""
"Invoke the Divine",KHM,"",3,""
"Iron Verdict",KHM,"",1,""
"Kaya's Onslaught",KHM,"",1,""
"Master Skald",KHM,"",1,""
"Reidane, God of the Worthy",KHM,"",2,""
"Revitalize",KHM,"",4,""
"Righteous Valkyrie",KHM,"",1,""
"Rune of Sustenance",KHM,"",1,""
"Runeforge Champion",KHM,"",1,""
"Shepherd of the Cosmos",KHM,"",2,""
"Sigrid, God-Favored",KHM,"",1,""
"Spectral Steel",KHM,"",1,""
"Stalwart Valkyrie",KHM,"",4,""
"Starnheim Courser",KHM,"",2,""
"Starnheim Unleashed",KHM,"",1,""
"Story Seeker",KHM,"",3,""
"Usher of the Fallen",KHM,"",4,""
"Valkyrie's Sword",KHM,"",2,""
"Valor of the Worthy",KHM,"",1,""
"Wings of the Cosmos",KHM,"",3,""
"Alrund, God of the Cosmos",KHM,"",2,""
"Ascendant Spirit",KHM,"",1,""
"Augury Raven",KHM,"",4,""
"Avalanche Caller",KHM,"",4,""
"Behold the Multiverse",KHM,"",4,""
"Berg Strider",KHM,"",4,""
"Brinebarrow Intruder",KHM,"",2,""
"Cosmos Charger",KHM,"",1,""
"Cyclone Summoner",KHM,"",1,""
"Depart the Realm",KHM,"",3,""
"Disdainful Stroke",KHM,"",2,""
"Draugr Thought-Thief",KHM,"",1,""
"Frost Augur",KHM,"",2,""
"Giant's Amulet",KHM,"",1,""
"Glimpse the Cosmos",KHM,"",2,""
"Graven Lore",KHM,"",2,""
"Icebreaker Kraken",KHM,"",3,""
"Inga Rune-Eyes",KHM,"",1,""
"Karfell Harbinger",KHM,"",3,""
"Mists of Littjara",KHM,"",4,""
"Mistwalker",KHM,"",4,""
"Mystic Reflection",KHM,"",1,""
"Pilfering Hawk",KHM,"",2,""
"Run Ashore",KHM,"",3,""
"Rune of Flight",KHM,"",1,""
"Saw It Coming",KHM,"",4,""
"Strategic Planning",KHM,"",3,""
"Undersea Invader",KHM,"",1,""
"Blood on the Snow",KHM,"",4,""
"Bloodsky Berserker",KHM,"",2,""
"Burning-Rune Demon",KHM,"",2,""
"Crippling Fear",KHM,"",1,""
"Deathknell Berserker",KHM,"",1,""
"Demonic Gifts",KHM,"",3,""
"Dogged Pursuit",KHM,"",3,""
"Draugr Necromancer",KHM,"",2,""
"Draugr Recruiter",KHM,"",1,""
"Draugr's Helm",KHM,"",1,""
"Duskwielder",KHM,"",1,""
"Egon, God of Death",KHM,"",1,""
"Elderfang Disciple",KHM,"",4,""
"Eradicator Valkyrie",KHM,"",1,""
"Feed the Serpent",KHM,"",1,""
"Grim Draugr",KHM,"",3,""
"Infernal Pet",KHM,"",1,""
"Koma's Faithful",KHM,"",1,""
"Poison the Cup",KHM,"",4,""
"Priest of the Haunted Edge",KHM,"",3,""
"Return Upon the Tide",KHM,"",3,""
"Rise of the Dread Marn",KHM,"",2,""
"Skull Raid",KHM,"",4,""
"Tergrid, God of Fright",KHM,"",1,""
"Tergrid's Shadow",KHM,"",1,""
"Valki, God of Lies",KHM,"",1,""
"Vengeful Reaper",KHM,"",2,""
"Village Rites",KHM,"",1,""
"Withercrown",KHM,"",1,""
"Arni Brokenbrow",KHM,"",1,""
"Axgard Cavalry",KHM,"",4,""
"Basalt Ravager",KHM,"",3,""
"Birgi, God of Storytelling",KHM,"",2,""
"Calamity Bearer",KHM,"",1,""
"Craven Hulk",KHM,"",2,""
"Crush the Weak",KHM,"",2,""
"Demon Bolt",KHM,"",4,""
"Doomskar Titan",KHM,"",1,""
"Dragonkin Berserker",KHM,"",1,""
"Dual Strike",KHM,"",4,""
"Dwarven Hammer",KHM,"",3,""
"Dwarven Reinforcements",KHM,"",1,""
"Fearless Pup",KHM,"",2,""
"Frenzied Raider",KHM,"",1,""
"Frost Bite",KHM,"",4,""
"Goldspan Dragon",KHM,"",4,""
"Hagi Mob",KHM,"",1,""
"Provoke the Trolls",KHM,"",2,""
"Run Amok",KHM,"",2,""
"Rune of Speed",KHM,"",1,""
"Seize the Spoils",KHM,"",3,""
"Shackles of Treachery",KHM,"",2,""
"Smashing Success",KHM,"",1,""
"Tibalt's Trickery",KHM,"",1,""
"Tormentor's Helm",KHM,"",2,""
"Vault Robber",KHM,"",2,""
"Arachnoform",KHM,"",1,""
"Blizzard Brawl",KHM,"",3,""
"Boreal Outrider",KHM,"",2,""
"Broken Wings",KHM,"",1,""
"Elderleaf Mentor",KHM,"",1,""
"Elven Bow",KHM,"",2,""
"Elvish Warmaster",KHM,"",1,""
"Esika's Chariot",KHM,"",1,""
"Fynn, the Fangbearer",KHM,"",3,""
"Glittering Frost",KHM,"",1,""
"Gnottvold Recluse",KHM,"",2,""
"Guardian Gladewalker",KHM,"",2,""
"Jaspera Sentinel",KHM,"",4,""
"Kolvori, God of Kinship",KHM,"",1,""
"Littjara Glade-Warden",KHM,"",2,""
"Mammoth Growth",KHM,"",1,""
"Masked Vandal",KHM,"",4,""
"Path to the World Tree",KHM,"",1,""
"Rootless Yew",KHM,"",1,""
"Roots of Wisdom",KHM,"",3,""
"Rune of Might",KHM,"",1,""
"Sarulf's Packmate",KHM,"",4,""
"Sculptor of Winter",KHM,"",4,""
"Snakeskin Veil",KHM,"",1,""
"Spirit of the Aldergard",KHM,"",3,""
"Struggle for Skemfar",KHM,"",4,""
"Toski, Bearer of Secrets",KHM,"",1,""
"Vorinclex, Monstrous Raider",KHM,"",2,""
"Aegar, the Freezing Flame",KHM,"",4,""
"Arni Slays the Troll",KHM,"",2,""
"Ascent of the Worthy",KHM,"",2,""
"Battle for Bretagard",KHM,"",2,""
"Battle of Frost and Fire",KHM,"",4,""
"The Bears of Littjara",KHM,"",1,""
"Binding the Old Gods",KHM,"",2,""
"The Bloodsky Massacre",KHM,"",1,""
"Firja, Judge of Valor",KHM,"",1,""
"Forging the Tyrite Sword",KHM,"",3,""
"Harald, King of Skemfar",KHM,"",3,""
"Immersturm Predator",KHM,"",4,""
"Invasion of the Giants",KHM,"",1,""
"Kardur, Doomscourge",KHM,"",3,""
"Kardur's Vicious Return",KHM,"",4,""
"King Narfi's Betrayal",KHM,"",1,""
"Koll, the Forgemaster",KHM,"",2,""
"Maja, Bretagard Protector",KHM,"",1,""
"Moritte of the Frost",KHM,"",4,""
"Narfi, Betrayer King",KHM,"",1,""
"Niko Defies Destiny",KHM,"",2,""
"The Raven's Warning",KHM,"",1,""
"Showdown of the Skalds",KHM,"",1,""
"Svella, Ice Shaper",KHM,"",1,""
"The Trickster-God's Heist",KHM,"",1,""
"Vega, the Watcher",KHM,"",3,""
"Bloodline Pretender",KHM,"",1,""
"Colossal Plow",KHM,"",2,""
"Funeral Longboat",KHM,"",1,""
"Goldvein Pick",KHM,"",2,""
"Raiders' Karve",KHM,"",2,""
"Raven Wings",KHM,"",4,""
"Replicating Ring",KHM,"",1,""
"Scorn Effigy",KHM,"",1,""
"Alpine Meadow",KHM,"",4,""
"Arctic Treeline",KHM,"",4,""
"Axgard Armory",KHM,"",1,""
"Barkchannel Pathway",KHM,"",1,""
"Blightstep Pathway",KHM,"",4,""
"Bretagard Stronghold",KHM,"",2,""
"Darkbore Pathway",KHM,"",2,""
"Faceless Haven",KHM,"",4,""
"Gates of Istfell",KHM,"",2,""
"Glacial Floodplain",KHM,"",4,""
"Hengegate Pathway",KHM,"",4,""
"Highland Forest",KHM,"",4,""
"Ice Tunnel",KHM,"",4,""
"Immersturm Skullcairn",KHM,"",3,""
"Littjara Mirrorlake",KHM,"",2,""
"Port of Karfell",KHM,"",1,""
"Rimewood Falls",KHM,"",4,""
"Shimmerdrift Vale",KHM,"",2,""
"Snowfield Sinkhole",KHM,"",4,""
"Sulfurous Mire",KHM,"",4,""
"Surtland Frostpyre",KHM,"",2,""
"Volatile Fjord",KHM,"",4,""
"Woodland Chasm",KHM,"",4,""
"Snow-Covered Plains",KHM,"",1,""
"Snow-Covered Plains",KHM,"",1,""
"Snow-Covered Island",KHM,"",1,""
"Snow-Covered Island",KHM,"",1,""
"Snow-Covered Swamp",KHM,"",1,""
"Snow-Covered Swamp",KHM,"",1,""
"Snow-Covered Mountain",KHM,"",1,""
"Snow-Covered Mountain",KHM,"",1,""
"Snow-Covered Forest",KHM,"",1,""
"Snow-Covered Forest",KHM,"",1,""
"Plains",KHM,"",1,""
"Island",KHM,"",1,""
"Swamp",KHM,"",1,""
"Mountain",KHM,"",1,""
"Forest",KHM,"",1,""
"Valkyrie Harbinger",KHM,"",1,""
"Environmental Sciences",STX,"",3,""
"Expanded Anatomy",STX,"",4,""
"Introduction to Annihilation",STX,"",2,""
"Introduction to Prophecy",STX,"",4,""
"Mascot Exhibition",STX,"",3,""
"Wandering Archaic",STX,"",2,""
"Academic Probation",STX,"",2,""
"Ageless Guardian",STX,"",4,""
"Beaming Defiance",STX,"",4,""
"Clever Lumimancer",STX,"",4,""
"Combat Professor",STX,"",4,""
"Defend the Campus",STX,"",4,""
"Detention Vortex",STX,"",2,""
"Dueling Coach",STX,"",2,""
"Eager First-Year",STX,"",4,""
"Elite Spellbinder",STX,"",4,""
"Expel",STX,"",4,""
"Guiding Voice",STX,"",4,""
"Leonin Lightscribe",STX,"",4,""
"Mavinda, Students' Advocate",STX,"",1,""
"Pilgrim of the Ages",STX,"",4,""
"Pillardrop Rescuer",STX,"",3,""
"Professor of Symbology",STX,"",4,""
"Reduce to Memory",STX,"",3,""
"Secret Rendezvous",STX,"",3,""
"Show of Confidence",STX,"",4,""
"Sparring Regimen",STX,"",1,""
"Star Pupil",STX,"",2,""
"Stonebinder's Familiar",STX,"",3,""
"Stonerise Spirit",STX,"",4,""
"Strict Proctor",STX,"",2,""
"Study Break",STX,"",4,""
"Thunderous Orator",STX,"",3,""
"Arcane Subtraction",STX,"",3,""
"Archmage Emeritus",STX,"",3,""
"Burrog Befuddler",STX,"",2,""
"Bury in Books",STX,"",4,""
"Curate",STX,"",2,""
"Divide by Zero",STX,"",3,""
"Frost Trickster",STX,"",1,""
"Mentor's Guidance",STX,"",3,""
"Mercurial Transformation",STX,"",4,""
"Multiple Choice",STX,"",1,""
"Reject",STX,"",4,""
"Resculpt",STX,"",2,""
"Serpentine Curve",STX,"",1,""
"Snow Day",STX,"",2,""
"Solve the Equation",STX,"",3,""
"Soothsayer Adept",STX,"",4,""
"Symmetry Sage",STX,"",1,""
"Teachings of the Archaics",STX,"",2,""
"Tempted by the Oriq",STX,"",2,""
"Vortex Runner",STX,"",3,""
"Waterfall Aerialist",STX,"",2,""
"Wormhole Serpent",STX,"",1,""
"Arrogant Poet",STX,"",4,""
"Baleful Mastery",STX,"",1,""
"Brackish Trudge",STX,"",4,""
"Callous Bloodmage",STX,"",1,""
"Confront the Past",STX,"",3,""
"Crushing Disappointment",STX,"",4,""
"Essence Infusion",STX,"",4,""
"Eyetwitch",STX,"",4,""
"Flunk",STX,"",4,""
"Go Blank",STX,"",3,""
"Hunt for Specimens",STX,"",3,""
"Lash of Malice",STX,"",2,""
"Leech Fanatic",STX,"",4,""
"Mage Hunter",STX,"",3,""
"Mage Hunters' Onslaught",STX,"",3,""
"Necrotic Fumes",STX,"",2,""
"Novice Dissector",STX,"",2,""
"Oriq Loremage",STX,"",2,""
"Plumb the Forbidden",STX,"",1,""
"Professor Onyx",STX,"",2,""
"Professor's Warning",STX,"",4,""
"Promising Duskmage",STX,"",2,""
"Sedgemoor Witch",STX,"",1,""
"Specter of the Fens",STX,"",4,""
"Tenured Inkcaster",STX,"",4,""
"Umbral Juke",STX,"",4,""
"Unwilling Ingredient",STX,"",2,""
"Academic Dispute",STX,"",2,""
"Ardent Dustspeaker",STX,"",3,""
"Blood Age General",STX,"",3,""
"Conspiracy Theorist",STX,"",3,""
"Dragon's Approach",STX,"",3,""
"Enthusiastic Study",STX,"",3,""
"Fervent Mastery",STX,"",2,""
"First Day of Class",STX,"",4,""
"Fuming Effigy",STX,"",4,""
"Grinning Ignus",STX,"",3,""
"Hall Monitor",STX,"",2,""
"Heated Debate",STX,"",4,""
"Igneous Inspiration",STX,"",4,""
"Illustrious Historian",STX,"",4,""
"Mascot Interception",STX,"",4,""
"Pigment Storm",STX,"",4,""
"Pillardrop Warden",STX,"",1,""
"Start from Scratch",STX,"",2,""
"Storm-Kiln Artist",STX,"",1,""
"Sudden Breakthrough",STX,"",4,""
"Tome Shredder",STX,"",3,""
"Twinscroll Shaman",STX,"",3,""
"Accomplished Alchemist",STX,"",1,""
"Basic Conjuration",STX,"",4,""
"Bayou Groff",STX,"",4,""
"Big Play",STX,"",3,""
"Bookwurm",STX,"",1,""
"Charge Through",STX,"",2,""
"Containment Breach",STX,"",1,""
"Devouring Tendrils",STX,"",4,""
"Dragonsguard Elite",STX,"",1,""
"Emergent Sequence",STX,"",3,""
"Exponential Growth",STX,"",1,""
"Field Trip",STX,"",4,""
"Fortifying Draught",STX,"",4,""
"Honor Troll",STX,"",3,""
"Karok Wrangler",STX,"",4,""
"Leyline Invocation",STX,"",4,""
"Mage Duel",STX,"",4,""
"Master Symmetrist",STX,"",3,""
"Overgrown Arch",STX,"",4,""
"Professor of Zoomancy",STX,"",2,""
"Reckless Amplimancer",STX,"",4,""
"Scurrid Colony",STX,"",4,""
"Spined Karok",STX,"",4,""
"Springmane Cervin",STX,"",3,""
"Tangletrap",STX,"",4,""
"Verdant Mastery",STX,"",2,""
"Blex, Vexing Pest",STX,"",1,""
"Extus, Oriq Overlord",STX,"",2,""
"Flamescroll Celebrant",STX,"",1,""
"Jadzi, Oracle of Arcavios",STX,"",2,""
"Plargg, Dean of Chaos",STX,"",1,""
"Rowan, Scholar of Sparks",STX,"",2,""
"Selfless Glyphweaver",STX,"",3,""
"Torrent Sculptor",STX,"",1,""
"Uvilda, Dean of Perfection",STX,"",2,""
"Valentin, Dean of the Vein",STX,"",2,""
"Aether Helix",STX,"",4,""
"Biomathematician",STX,"",3,""
"Blood Researcher",STX,"",4,""
"Blot Out the Sky",STX,"",1,""
"Closing Statement",STX,"",3,""
"Cram Session",STX,"",3,""
"Creative Outburst",STX,"",3,""
"Culmination of Studies",STX,"",1,""
"Daemogoth Woe-Eater",STX,"",4,""
"Deadly Brew",STX,"",2,""
"Decisive Denial",STX,"",2,""
"Dina, Soul Steeper",STX,"",1,""
"Double Major",STX,"",1,""
"Elemental Expressionist",STX,"",1,""
"Elemental Masterpiece",STX,"",2,""
"Elemental Summoning",STX,"",3,""
"Eureka Moment",STX,"",2,""
"Exhilarating Elocution",STX,"",4,""
"Expressive Iteration",STX,"",4,""
"Fractal Summoning",STX,"",1,""
"Fracture",STX,"",4,""
"Galazeth Prismari",STX,"",3,""
"Golden Ratio",STX,"",3,""
"Humiliate",STX,"",4,""
"Infuse with Vitality",STX,"",4,""
"Inkling Summoning",STX,"",4,""
"Kasmina, Enigma Sage",STX,"",1,""
"Killian, Ink Duelist",STX,"",3,""
"Lorehold Apprentice",STX,"",3,""
"Lorehold Command",STX,"",2,""
"Lorehold Excavation",STX,"",2,""
"Lorehold Pledgemage",STX,"",2,""
"Maelstrom Muse",STX,"",3,""
"Magma Opus",STX,"",4,""
"Make Your Mark",STX,"",4,""
"Manifestation Sage",STX,"",2,""
"Moldering Karok",STX,"",4,""
"Needlethorn Drake",STX,"",2,""
"Oggyar Battle-Seer",STX,"",4,""
"Owlin Shieldmage",STX,"",4,""
"Pest Summoning",STX,"",1,""
"Practical Research",STX,"",3,""
"Prismari Apprentice",STX,"",3,""
"Prismari Command",STX,"",2,""
"Prismari Pledgemage",STX,"",4,""
"Quandrix Apprentice",STX,"",3,""
"Quandrix Command",STX,"",1,""
"Quandrix Cultivator",STX,"",2,""
"Quandrix Pledgemage",STX,"",2,""
"Quintorius, Field Historian",STX,"",4,""
"Radiant Scrollwielder",STX,"",1,""
"Reconstruct History",STX,"",4,""
"Relic Sloth",STX,"",4,""
"Returned Pastcaller",STX,"",3,""
"Rip Apart",STX,"",1,""
"Rise of Extus",STX,"",2,""
"Rootha, Mercurial Artist",STX,"",2,""
"Shadewing Laureate",STX,"",2,""
"Shadrix Silverquill",STX,"",2,""
"Silverquill Apprentice",STX,"",1,""
"Silverquill Command",STX,"",1,""
"Silverquill Pledgemage",STX,"",4,""
"Silverquill Silencer",STX,"",1,""
"Spectacle Mage",STX,"",4,""
"Spirit Summoning",STX,"",1,""
"Spiteful Squad",STX,"",2,""
"Square Up",STX,"",2,""
"Stonebound Mentor",STX,"",4,""
"Tanazir Quandrix",STX,"",1,""
"Teach by Example",STX,"",2,""
"Thrilling Discovery",STX,"",3,""
"Vanishing Verse",STX,"",1,""
"Velomachus Lorehold",STX,"",1,""
"Venerable Warsinger",STX,"",1,""
"Witherbloom Pledgemage",STX,"",4,""
"Zimone, Quandrix Prodigy",STX,"",3,""
"Biblioplex Assistant",STX,"",2,""
"Campus Guide",STX,"",2,""
"Codie, Vociferous Codex",STX,"",1,""
"Cogwork Archivist",STX,"",4,""
"Excavated Wall",STX,"",4,""
"Letter of Acceptance",STX,"",3,""
"Reflective Golem",STX,"",4,""
"Spell Satchel",STX,"",3,""
"Strixhaven Stadium",STX,"",4,""
"Team Pennant",STX,"",4,""
"Zephyr Boots",STX,"",2,""
"Access Tunnel",STX,"",4,""
"Archway Commons",STX,"",3,""
"Frostboil Snarl",STX,"",4,""
"Furycalm Snarl",STX,"",2,""
"Hall of Oracles",STX,"",2,""
"Lorehold Campus",STX,"",3,""
"Necroblossom Snarl",STX,"",3,""
"Prismari Campus",STX,"",4,""
"Quandrix Campus",STX,"",4,""
"Silverquill Campus",STX,"",4,""
"Vineglimmer Snarl",STX,"",1,""
"Witherbloom Campus",STX,"",4,""
"Plains",STX,"",1,""
"Plains",STX,"",1,""
"Island",STX,"",1,""
"Island",STX,"",1,""
"Swamp",STX,"",1,""
"Swamp",STX,"",1,""
"Mountain",STX,"",1,""
"Mountain",STX,"",1,""
"Forest",STX,"",1,""
"Forest",STX,"",1,""
"Defiant Strike",STA,"",4,""
"Divine Gambit",STA,"",4,""
"Ephemerate",STA,"",2,""
"Gift of Estates",STA,"",1,""
"Revitalize",STA,"",2,""
"Blue Sun's Zenith",STA,"",1,""
"Compulsive Research",STA,"",2,""
"Negate",STA,"",1,""
"Opt",STA,"",4,""
"Strategic Planning",STA,"",4,""
"Tezzeret's Gambit",STA,"",1,""
"Time Warp",STA,"",1,""
"Agonizing Remorse",STA,"",4,""
"Crux of Fate",STA,"",1,""
"Doom Blade",STA,"",1,""
"Duress",STA,"",3,""
"Eliminate",STA,"",4,""
"Inquisition of Kozilek",STA,"",1,""
"Tendrils of Agony",STA,"",2,""
"Village Rites",STA,"",2,""
"Chaos Warp",STA,"",2,""
"Claim the Firstborn",STA,"",4,""
"Grapeshot",STA,"",1,""
"Infuriate",STA,"",3,""
"Shock",STA,"",4,""
"Thrill of Possibility",STA,"",3,""
"Urza's Rage",STA,"",1,""
"Adventurous Impulse",STA,"",4,""
"Cultivate",STA,"",4,""
"Harmonize",STA,"",1,""
"Regrowth",STA,"",1,""
"Snakeskin Veil",STA,"",2,""
"Electrolyze",STA,"",1,""
"Growth Spiral",STA,"",2,""
"Lightning Helix",STA,"",1,""
"Putrefy",STA,"",2,""
"+2 Mace",AFR,"",3,""
"Arborea Pegasus",AFR,"",3,""
"Blink Dog",AFR,"",1,""
"Celestial Unicorn",AFR,"",4,""
"Cleric Class",AFR,"",3,""
"Cloister Gargoyle",AFR,"",4,""
"Dancing Sword",AFR,"",3,""
"Dawnbringer Cleric",AFR,"",3,""
"Delver's Torch",AFR,"",3,""
"Devoted Paladin",AFR,"",4,""
"Dragon's Disciple",AFR,"",2,""
"Dwarfhold Champion",AFR,"",4,""
"Flumph",AFR,"",1,""
"Gloom Stalker",AFR,"",4,""
"Guardian of Faith",AFR,"",1,""
"Half-Elf Monk",AFR,"",4,""
"Icingdeath, Frost Tyrant",AFR,"",1,""
"Ingenious Smith",AFR,"",4,""
"Keen-Eared Sentry",AFR,"",2,""
"Loyal Warhound",AFR,"",3,""
"Minimus Containment",AFR,"",4,""
"Monk of the Open Hand",AFR,"",4,""
"Moon-Blessed Cleric",AFR,"",2,""
"Nadaar, Selfless Paladin",AFR,"",2,""
"Oswald Fiddlebender",AFR,"",2,""
"Paladin's Shield",AFR,"",2,""
"Planar Ally",AFR,"",4,""
"Plate Armor",AFR,"",3,""
"Portable Hole",AFR,"",4,""
"Potion of Healing",AFR,"",3,""
"Priest of Ancient Lore",AFR,"",4,""
"Rally Maneuver",AFR,"",4,""
"Ranger's Hawk",AFR,"",4,""
"Steadfast Paladin",AFR,"",3,""
"Teleportation Circle",AFR,"",2,""
"Veteran Dungeoneer",AFR,"",4,""
"White Dragon",AFR,"",1,""
